,p,p-emul,15-1e,52-synth1x,52-amp1x
total-reads,"42,465","37,758","147,115","60,143","56,424"
high-quality-reads,"28,777","25,966","123,864","52,656","52,711"
No Mismatches,"23,431","18,458","38,846","12,771","8,591"
1 Mismatch,"4,626","6,516","55,796","34,155","31,708"
2 Mismatch,131,161,"12,276","1,475","4,778"
3>= Mismatch,229,335,"2,335","1,390","1,428"
2 Mismatches Class 0,10,8,38,9,10
2 Mismatches Class 1,103,133,2217,1167,2900
2 Mismatches Class 2,18,20,10021,299,1868
,Percentages,,,,
high-quality-reads,100.00%,100.00%,100.00%,100.00%,100.00%
No Mismatches,81.42%,71.09%,31.36%,24.25%,16.30%
1 Mismatch,16.08%,25.09%,45.05%,64.86%,60.15%
2 Mismatch,0.46%,0.62%,9.91%,2.80%,9.06%
3>= Mismatch,0.80%,1.29%,1.89%,2.64%,2.71%
2 Mismatches Class 0,0.03%,0.03%,0.03%,0.02%,0.02%
2 Mismatches Class 1,0.36%,0.51%,1.79%,2.22%,5.50%
2 Mismatches Class 2,0.06%,0.08%,8.09%,0.57%,3.54%
