altAffect(snpSTARRseq),ChIP/ATAC Allele Freq,RSID,sig-level,chipseq
0.584008143,0.5001,rs10188360,all SNP,H3K27ac
0.580565729,0.5042,rs10190752,all SNP,H3K27ac
0.450399551,0.4783,rs10305720,all SNP,H3K27ac
0.408268536,0.4091,rs1043186,all SNP,H3K27ac
0.642659708,0.5475,rs10486567,all SNP,H3K27ac
0.430903269,0.5119,rs1048739,all SNP,H3K27ac
0.433682185,0.5119,rs1048740,all SNP,H3K27ac
0.625247056,0.6072,rs10490187,all SNP,H3K27ac
0.434081292,0.5932,rs10807290,all SNP,H3K27ac
0.494258729,0.5206,rs10885396,all SNP,H3K27ac
0.476543785,0.5174,rs10885397,all SNP,H3K27ac
0.50916521,0.5319,rs10947036,all SNP,H3K27ac
0.520281278,0.5319,rs10947037,all SNP,H3K27ac
0.586694524,0.5671,rs11083046,all SNP,H3K27ac
0.517283667,0.5654,rs11083047,all SNP,H3K27ac
0.38224438,0.5223,rs11136345,all SNP,H3K27ac
0.46717392,0.5296,rs11263763,all SNP,H3K27ac
0.389476233,0.509,rs11264743,all SNP,H3K27ac
0.475609279,0.5063,rs1160267,all SNP,H3K27ac
0.446503601,0.5338,rs11658063,all SNP,H3K27ac
0.500062667,0.4767,rs11672691,all SNP,H3K27ac
0.384541408,0.513,rs11674246,all SNP,H3K27ac
0.480156199,0.5638,rs11674433,all SNP,H3K27ac
0.489271914,0.5089,rs11686272,all SNP,H3K27ac
0.476338126,0.5357,rs11755420,all SNP,H3K27ac
0.540937447,0.5357,rs11757370,all SNP,H3K27ac
0.506833832,0.4344,rs11905777,all SNP,H3K27ac
0.42164583,0.519,rs12023699,all SNP,H3K27ac
0.45369538,0.4923,rs12117347,all SNP,H3K27ac
0.249119007,0.5324,rs12215344,all SNP,H3K27ac
0.547163844,0.5286,rs12300043,all SNP,H3K27ac
0.525413023,0.5228,rs12314600,all SNP,H3K27ac
0.36245601,0.6585,rs12326997,all SNP,H3K27ac
0.489418773,0.4813,rs12441514,all SNP,H3K27ac
0.545948209,0.5307,rs12453443,all SNP,H3K27ac
0.587681345,0.4942,rs12620010,all SNP,H3K27ac
0.466675916,0.4015,rs12634,all SNP,H3K27ac
0.543908004,0.5704,rs12769019,all SNP,H3K27ac
0.552357965,0.436,rs12773600,all SNP,H3K27ac
0.490452136,0.4304,rs12773833,all SNP,H3K27ac
0.455522413,0.5598,rs12882923,all SNP,H3K27ac
0.450192557,0.559,rs12883298,all SNP,H3K27ac
0.194720127,0.2714,rs13215045,all SNP,H3K27ac
0.294153686,0.3033,rs13215402,all SNP,H3K27ac
0.451282167,0.4701,rs13254738,all SNP,H3K27ac
0.444281952,0.4014,rs13283293,all SNP,H3K27ac
0.388003977,0.4015,rs13283584,all SNP,H3K27ac
0.471594532,0.5437,rs13337885,all SNP,H3K27ac
0.412953129,0.5083,rs1446668,all SNP,H3K27ac
0.448121708,0.5199,rs1450197,all SNP,H3K27ac
0.582038619,0.4718,rs1785502,all SNP,H3K27ac
0.596487729,0.5047,rs1797688,all SNP,H3K27ac
0.6724314,0.5022,rs1797689,all SNP,H3K27ac
0.595832918,0.5548,rs1970811,all SNP,H3K27ac
0.489661742,0.4502,rs2018334,all SNP,H3K27ac
0.564566832,0.5638,rs2024431,all SNP,H3K27ac
0.554226679,0.5586,rs2024432,all SNP,H3K27ac
0.550979725,0.5586,rs2024433,all SNP,H3K27ac
0.587372376,0.557,rs2028397,all SNP,H3K27ac
0.620063153,0.5279,rs2028398,all SNP,H3K27ac
0.541307521,0.5099,rs2028900,all SNP,H3K27ac
0.34563549,0.5002,rs205258,all SNP,H3K27ac
0.627262451,0.499,rs205259,all SNP,H3K27ac
0.37978155,0.5018,rs2233798,all SNP,H3K27ac
0.515949687,0.5028,rs2303918,all SNP,H3K27ac
0.492469509,0.5319,rs2327332,all SNP,H3K27ac
0.55406048,0.4242,rs2437875,all SNP,H3K27ac
0.540868674,0.5183,rs2659122,all SNP,H3K27ac
0.471633947,0.5012,rs266875,all SNP,H3K27ac
0.519502359,0.5162,rs266876,all SNP,H3K27ac
0.534742341,0.4901,rs2682299,all SNP,H3K27ac
0.534742341,0.4901,rs2682300,all SNP,H3K27ac
0.511864162,0.5066,rs2701849,all SNP,H3K27ac
0.449157408,0.5066,rs2701850,all SNP,H3K27ac
0.748311922,0.5344,rs2717586,all SNP,H3K27ac
0.529193698,0.532,rs2814968,all SNP,H3K27ac
0.542555596,0.5336,rs2814969,all SNP,H3K27ac
0.520182247,0.5336,rs2814970,all SNP,H3K27ac
0.509765602,0.5001,rs2814972,all SNP,H3K27ac
0.462117953,0.4638,rs2926534,all SNP,H3K27ac
0.486347833,0.4638,rs3014606,all SNP,H3K27ac
0.473007465,0.5039,rs35318451,all SNP,H3K27ac
0.587292039,0.4954,rs3729647,all SNP,H3K27ac
0.337542677,0.5164,rs3737155,all SNP,H3K27ac
0.618002328,0.4783,rs3758337,all SNP,H3K27ac
0.47395819,0.4856,rs3769821,all SNP,H3K27ac
0.438634633,0.4853,rs3769823,all SNP,H3K27ac
0.502413728,0.5728,rs3773744,all SNP,H3K27ac
0.493561215,0.5728,rs3773745,all SNP,H3K27ac
0.507319464,0.4772,rs3814547,all SNP,H3K27ac
0.517772071,0.4802,rs3814548,all SNP,H3K27ac
0.542256466,0.5058,rs3828081,all SNP,H3K27ac
0.455865837,0.5133,rs3828262,all SNP,H3K27ac
0.488387805,0.5276,rs3919460,all SNP,H3K27ac
0.511170357,0.4986,rs398377,all SNP,H3K27ac
0.434684457,0.6627,rs4453662,all SNP,H3K27ac
0.529597662,0.4986,rs481053,all SNP,H3K27ac
0.479330005,0.5165,rs4845357,all SNP,H3K27ac
0.311281983,0.5165,rs4845585,all SNP,H3K27ac
0.444101535,0.3456,rs4846233,all SNP,H3K27ac
0.329262702,0.6585,rs4940811,all SNP,H3K27ac
